Season,Country,player_name,Kicker_Foot,Kicker_Side,Goalie_Side,Outcome,goalkeeper_name,Home_Goals,Away_Goals,Minute,Team_Type
20/21,Italy,Fabio Quagliarella,R,L,L,0.0,Marco Sportiello,0,1,45,A
20/21,Italy,Zlatan Ibrahimović,R,L,L,0.0,Marco Silvestri,1,2,66,H
20/21,Italy,Franck Kessié,R,R,R,0.0,Bartlomiej Dragowski,2,0,38,H
20/21,Italy,Cristiano Ronaldo,R,R,R,0.0,Pierluigi Gollini,1,1,61,H
20/21,Italy,Musa Barrow,R,R,R,0.0,Ivan Provedel,2,2,90,A
20/21,Italy,Ciro Immobile,R,L,L,0.0,Gianluigi Donnarumma,2,0,27,A
20/21,Italy,Gianluca Caprari,R,L,R,0.0,Gianluigi Donnarumma,0,2,61,H
20/21,Italy,Alexis Sánchez,R,L,L,0.0,Emil Audero,0,0,12,A
20/21,Italy,João Pedro,R,R,R,0.0,Bartlomiej Dragowski,0,0,37,A
20/21,Italy,Zlatan Ibrahimović,R,L,L,0.0,Lukasz Skorupski,0,1,26,A
20/21,Italy,Andrea Belotti,R,L,L,0.0,Pierluigi Gollini,3,0,42,A
20/21,Italy,Ciro Immobile,R,R,R,0.0,Lukasz Skorupski,0,0,17,A
20/21,Italy,Ciro Immobile,R,L,L,0.0,Salvatore Sirigu,0,0,84,H
20/21,Italy,Andrey Galabinov,R,R,R,0.0,Wojciech Szczesny,3,0,90,A
20/21,Italy,Ciro Immobile,R,L,L,0.0,Lorenzo Montipò,4,1,55,H
20/21,Italy,Edin Džeko,R,R,R,0.0,Emil Audero,2,0,71,A
20/21,Italy,Luis Muriel,R,C,L,0.0,Andrea Consigli,1,1,77,A
20/21,Italy,Franck Kessié,R,R,R,0.0,Wojciech Szczesny,0,1,58,A
20/21,Italy,Domenico Berardi,L,R,R,0.0,Gianluigi Buffon,0,0,16,H
20/21,Italy,Cristiano Ronaldo,R,L,L,0.0,Samir Handanovič,1,0,24,H
20/21,Italy,Lorenzo Insigne,R,L,L,0.0,Pietro Terracciano,0,0,56,A
23/24,Portugal,Ángel Di María,L,L,L,0.0,Hugo Souza,0,0,26,H
23/24,Portugal,Fellipe Cardoso,R,R,R,0.0,Trublin,1,0,54,A
23/24,Portugal,Samu,L,L,L,0.0,Luiz Júnior,0,0,49,H
23/24,Portugal,Cristo,R,R,R,0.0,João Gonçalves,0,0,24,H
